"","pubname","publisher","X_gddid","title","doi","coverDate","URL","authors","highlight","filename","coveryear"
"1","Environment Concerns in Rights-of-Way Management 8th International Symposium 12–16 September 2004 Saratoga Springs, New York, USA","Elsevier","589a7bb3cf58f1029fe5be6f","Monk Parakeets An Expanding Problem on Power Lines and Other Electrical Utility Structures","10.1016/B978-044453223-7.50043-5","2008","http://www.sciencedirect.com/science/article/pii/B9780444532237500435","Newman, J.R.; Newman, C.M.; Lindsay, J.R.; Merchant, B.; Avery, M.L.; Pruett-Jones, S.","population size, and enacting legislation  and policies to control monk parakeet. Currently,","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parakeet"".txt",2008
"2","Environmental Research","Elsevier","5763b892cf58f11224ac1731","Contaminant-induced feminization and demasculinization of nonmammalian vertebrate males in aquatic environments","10.1016/j.envres.2005.04.002","January 2006","http://www.sciencedirect.com/science/article/pii/S0013935105000551","Milnes, Matthew R.; Bermudez, Dieldrich S.; Bryan, Teresa A.; Edwards, Thea M.; Gunderson, Mark P.; Larkin, Iskande L.V.; Moore, Brandon C.; Guillette, Louis J.","and 11-ketotestosterone synthesis when compared to control males (Parrot et al.,","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2006
"3","Australian Veterinary Journal","Wiley","5d732b850b45c76cafa75a15","Avian quarantine","10.1111/j.1751-0813.1997.tb15361.x","1997 09","http://doi.wiley.com/10.1111/j.1751-0813.1997.tb15361.x","DOYLE, KA","treatments and commercial poultry vaccines do not control the parrot viruses.” Proventriculardilatation","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",1997
"4","Emu - Austral Ornithology","Taylor and Francis","5e18e63e998e17af825a5add","The evolution of plumage colouration in parrots: a review","10.1071/MU09076","2010 03","https://www.tandfonline.com/doi/full/10.1071/MU09076","Berg, Mathew L.; Bennett, Andrew T. D.","individual condition. Genetic control Substantial genetic control of parrot colouration","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2010
"5","Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology","Taylor and Francis","5b1ecdf0cf58f155a1efa1ab","Plant invasions in the rivers of the Iberian Peninsula, south-western Europe: A review","10.1080/11263504.2013.861539","2013 12","http://www.tandfonline.com/doi/abs/10.1080/11263504.2013.861539","Aguiar, F. C. F.; Ferreira, M. T.","1991–1998. Moreira I, Monteiro A, Ferreira MT. 1999b. Biology and control of parrot feather (Myriophyllum","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2013
"6","Journal of Environmental Management","Elsevier","5b526296cf58f1a50a464b11","Using Myriophyllum aquaticum (Vell.) Verdc. to remove heavy metals from contaminated water: Better dead or alive?","10.1016/j.jenvman.2018.02.074","1 May 2018","https://www.sciencedirect.com/science/article/pii/S0301479718301816","Colzi, Ilaria; Lastrucci, Lorenzo; Rangoni, Mattia; Coppi, Andrea; Gonnelli, Cristina","I., Monteira, A., Ferreira, T., 1999. Biology and control of parrot feather (Myriophyllum","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2018
"7","The Journal of Comparative Neurology","Wiley","5df8edb8998e17af825871a3","Projections of the oval nucleus of the hyperstriatum ventrale in the budgerigar: Relationships with the auditory system","10.1002/cne.1115","2001 04","http://doi.wiley.com/10.1002/cne.1115","Brauth, Steven E.; Liang, Wenru; Roberts, Todd F.","Inc. Indexing terms: forebrain auditory pathways; vocal control nuclei; parrot; vocal","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2001
"8","Biological Conservation","Elsevier","5b525e2acf58f1a50a464508","Harvesting, local trade, and conservation of parrots in the Northeastern Peruvian Amazon","10.1016/S0006-3207(03)00071-5","December 2003","https://www.sciencedirect.com/science/article/pii/S0006320703000715","González, José A","(Gonza´ lez, 1998). At present, there is no eﬀective control on parrot harvesting","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2003
"9","Australian Veterinary Journal","Wiley","5d730f610b45c76cafa75697","KERATOCONJUNCTIVITIS AND CHLAMYDIOSIS IN CAGE BIRDS","10.1111/j.1751-0813.1974.tb14106.x","1974 08","http://doi.wiley.com/10.1111/j.1751-0813.1974.tb14106.x","Surman, P. G.; Schultz, D. J.; Tham, V. L.","with 0.1 ml of the suspension by the oral route. A control Cockatiel parrot was","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",1974
"10","Journal of Unmanned Vehicle Systems","Canadian Science Publishing","57753e84cf58f1bc0e0d38e6","Assessment of UAV Operator Workload in A Reconfigurable Multi-Touch Ground Control Station Environment","10.1139/juvs-2015-0039","April 2016","http://www.nrcresearchpress.com/doi/10.1139/juvs-2015-0039","Haber, Jeffrey; Chung, Joon","on devices that run using Apple’s iOS platform to control a Parrot AR.Drone. Both","/Users/jburnett/Documents/GitHub/parrot_mgmt/xdd_json/""control+for+parrot"".txt",2016
